Date,Open,High,Low,Close,Volume
6-Oct-17,21.42,21.52,21.42,21.45,619
5-Oct-17,21.10,21.69,21.10,21.47,2189
4-Oct-17,21.35,21.43,21.20,21.43,1865
2-Oct-17,21.60,21.95,21.16,21.50,3852
29-Sep-17,22.00,22.00,21.61,21.61,4999
28-Sep-17,21.05,22.10,20.90,21.68,17144
27-Sep-17,20.88,20.88,20.61,20.65,4738
26-Sep-17,20.30,20.65,20.30,20.65,140
25-Sep-17,20.43,20.72,20.43,20.45,580
22-Sep-17,20.40,20.70,20.38,20.63,3010
21-Sep-17,20.32,20.74,20.32,20.54,1960
20-Sep-17,20.37,20.48,20.15,20.48,2801
19-Sep-17,19.86,20.34,19.86,20.31,544
18-Sep-17,19.93,20.34,19.93,20.05,2171
